Year,Word,ManSyl,length
2007,Ultrasonic Ringtone,,19
2007,Spider Pig Ringtone,5,19
2008,Macaroni and Cheese,6,19
2008,What is Scientology,7,19
2009,Paranormal Activity,,19
2009,Festival Di Venezia,,19
2009,Coca Cola Zero Fest,,19
2009,Indian Economy 2009,,19
2010,Slumdog Millionaire,5,19
2011,Samsung Nexus Prime,,19
2011,Pacquiao Vs. Mosley,6,19
2011,Amy Winehouse Death,5,19
2012,Paranormal Activity,8,19
2012,Presidential Debate,6,19
2013,Government Shutdown,5,19
2013,2014 FIFA World Cup,9,19
2014,Germany vs Portugal,,19
2014,Matthew McConaughey,6,19
2018,Khabib Nurmagomedov,,19
2019,Bangladesh vs India,,19
2019,Fall of Berlin Wall,,19
2001,Planet of the Apes,5,18
2002,Neverwinter Nights,5,18
2002,Christina Aguilera,7,18
2003,Caltech Earthquake,4,18
2003,Recent Earthquakes,,18
2004,Mitsubishi Eclipse,6,18
2004,Little Black Dress,4,18
2004,Flat Panel Monitor,6,18
2006,Where is Villanova,7,18
2006,Where is Palestine,5,18
2006,What is Alprazolam,,18
2006,Define Promiscuous,6,18
2007,Triathlon Training,6,18
2007,Jamie Gold Lawsuit,,18
2007,McDonald's Lawsuit,,18
2007,Mediterranean Diet,8,18
2007,Ratatouille Recipe,7,18
2008,Who is Miley Cyrus,,18
2008,Who is Chris Brown,,18
2009,Natasha Richardson,,18
2009,Sonnenrot Festival,,18
2009,Nespresso Commande,,18
2009,Irish Economy 2009,,18
2009,Confederations Cup,5,18
2010,National City Bank,6,18
2010,Cricket Live Score,,18
2010,Donate to Pakistan,,18
2010,Download to Donate,,18
2011,Amazon Kindle Fire,7,18
2011,Buffalo Wild Wings,6,18
2011,Salvatore Parolisi,7,18
2011,Siegessaule Berlin,,18
2011,Elementary Schools,,18
2012,Southwest Airlines,4,18
2012,Carolina Dieckmann,,18
2012,Penn State Scandal,4,18
2014,Michael Schumacher,,18
2014,Scotish Referendum,,18
2014,iPhone 6 Bend Test,5,18
2015,Hurricane Patricia,6,18
2015,Big Brother Brazil,,18
2017,Chester Bennington,,18
2017,Las Vegas Shooting,5,18
2017,Ground beef recipe,,18
2017,Big Brother Brasil,5,18
2017,Millie Bobby Brown,5,18
2017,How to buy Bitcoin,5,18
2018,Sylvester Stallone,5,18
2018,Hurricane Florence,5,18
2001,Lord of the Rings,4,17
2001,New York Marathon,5,17
2001,Temptation Island,5,17
2001,Bed Bath & Beyond,5,17
2001,Internet Explorer,6,17
2003,Justin Timberlake,5,17
2004,Johnson & Johnson,5,17
2004,Digital Camcorder,6,17
2004,Blockbuster Video,6,17
2004,Christopher Reeve,4,17
2004,Computer Speakers,5,17
2004,Notebook Computer,5,17
2004,Wireless Speakers,5,17
2005,Hurricane Katrina,6,17
2006,World Cup Jerseys,4,17
2006,Ronaldinho Jersey,,17
2006,USA Soccer Jersey,,17
2006,Tom Katie Wedding,5,17
2006,Who is Buckethead,5,17
2006,What is Hezbollah,5,17
2006,What is Acyclovir,,17
2007,Anna Nicole Smith,,17
2007,Mosquito Ringtone,5,17
2007,How to Skateboard,4,17
2007,What Is Bluetooth,4,17
2008,Bridge To Nowhere,4,17
2008,Ohio State Mascot,,17
2008,Red River Rivalry,,17
2009,Poker Face Lyrics,,17
2009,Festival Sudoeste,,17
2009,Pacquiao vs Cotto,5,17
2009,L'equipe Football,,17
2010,Donate Now Button,,17
2011,India Vs. England,,17
2011,Super Bass Lyrics,5,17
2012,American Airlines,,17
2012,Samsung Galaxy S3,,17
2012,Microsoft Surface,5,17
2012,Stratosphere Jump,,17
2012,Felix Baumgartner,5,17
2013,Samsung Galaxy S4,6,17
2013,Jennifer Lawrence,5,17
2014,Malaysia Airlines,5,17
2014,Devil Baby Attack,6,17
2014,Brazil vs Germany,6,17
2014,Brazil vs Croatia,,17
2014,Samsung Galaxy S5,,17
2015,Hurricane Joaquin,5,17
2015,Samsung Galaxy S6,,17
2015,Samsung Galaxy J5,,17
2015,Verdades Secretas,,17
2016,Batman v Superman,6,17
2016,Christina Grimmie,,17
2016,Samsung Galaxy S7,,17
2017,April the Giraffe,5,17
2017,Samsung Galaxy S8,,17
2017,Philippe Coutinho,,17
2017,What in Tarnation,5,17
2017,How to make slime,4,17
2018,Bohemian Rhapsody,7,17
2018,Hurricane Michael,5,17
2019,Avengers: Endgame,,17
2019,A Whole New World,4,17
2001,Associated Press,6,16
2002,Anna Nicole Show,5,16
2004,Electric Scooter,5,16
2006,Argentina Jersey,,16
2006,Who is Hezbollah,5,16
2006,What is Tramadol,5,16
2006,How to Refinance,5,16
2006,Define Harlequin,5,16
2006,Define Filosofia,,16
2007,Facebook Lawsuit,,16
2007,Apologize Lyrics,,16
2008,Financial Crisis,5,16
2008,Tennessee Mascot,,16
2008,Carrie Underwood,5,16
2008,Michael Crichton,,16
2008,Who is Lil Wayne,,16
2009,Naruto Shippuden,,16
2009,Robert Pattinson,,16
2009,Habib's Delivery,,16
2010,Bundeskanzleramt,,16
2010,Guacamole Recipe,7,16
2010,Red Cross Canada,,16
2011,Lamberto Sposini,7,16
2011,Marco Simoncelli,,16
2011,Price Tag Lyrics,,16
2011,Rihanna Man Down,,16
2012,The Hunger Games,4,16
2012,Carly Rae Jepsen,5,16
2012,Cheias de Charme,,16
2013,Chinese New Year,4,16
2013,Django Unchained,4,16
2013,James Gandolfini,,16
2013,Nokia Lumia 1020,,16
2013,Malala Yousafzai,6,16
2014,Brazil vs Mexico,6,16
2015,Cristiano Araujo,,16
2015,Better Call Saul,4,16
2016,Grace Vanderwaal,,16
2016,Orlando Shooting,5,16
2017,Hurricane Harvey,5,16
2017,Harvey Weinstein,4,16
2017,Floyd Mayweather,4,16
2017,Elf on the Shelf,4,16
2018,Anthony Bourdain,5,16
2018,Khloé Kardashian,6,16
2018,Tristan Thompson,4,16
2018,Childish Gambino,6,16
2018,Election Results,,16
2018,Florida Shooting,5,16
2019,Hurricane Dorian,5,16
2019,Into the Unknown,,16
2019,When They See Us,,16
2001,Backstreet Boys,3,15
2001,Washington Post,4,15
2001,Anna Kournikova,6,15
2001,Pamela Anderson,6,15
2001,Andrea Thompson,5,15
2001,PlayStation Two,4,15
2001,Gameboy Advance,4,15
